 	スペース
П	キリル ペー
Р	キリル エル
С	キリル エス
Т	キリル テー
У	キリル ウー
Ф	キリル エフ
Х	キリル ハー
Ц	キリル ツェー
Ч	キリル チェー
Ш	キリル シャー
Щ	キリル シシャー
Ъ	キリル コウオンキゴウ
Ы	キリル ウィ
Ь	キリル ナンオンキゴウ
Э	キリル エー
Ю	キリル ユー
Я	キリル ヤー
а	キリル アー
б	キリル ベー
в	キリル ヴェー
г	キリル ゲー
д	キリル デー
е	キリル ィエー
ж	キリル ジェー
з	キリル ゼー
и	キリル イー
й	キリル イークラトコエ
к	キリル カー
л	キリル エル
м	キリル エム
н	キリル エヌ
о	キリル オー
п	キリル ペー
р	キリル エル
с	キリル エス
т	キリル テー
у	キリル ウー
ф	キリル エフ
х	キリル ハー
ц	キリル ツェー
ч	キリル チェー
ш	キリル シャー
щ	キリル シシャー
ъ	キリル コウオンキゴウ
ы	キリル ウィ
ь	キリル ナンオンキゴウ
э	キリル エー
ю	キリル ユー
я	キリル ヤー
ё	キリル ィヨー
‐	ハイフン
―	バー
‘	シングル
’	トジシングル
“	クォーテーション
”	トジクォーテーション
†	ダガー
‡	ダブルダガー
‥	テンテン
…	テンテンテン
‰	パーミル
′	フン
″	ビョウ
※	コメジルシ
℃	ドシー
№	ナンバー
℡	テレフォン
Å	オングストローム
Ⅰ	ローマスウジ イチ
Ⅱ	ローマスウジ ニ
Ⅲ	ローマスウジ サン
Ⅳ	ローマスウジ ヨン
Ⅴ	ローマスウジ ゴ
Ⅵ	ローマスウジ ロク
Ⅶ	ローマスウジ ナナ
Ⅷ	ローマスウジ ハチ
Ⅸ	ローマスウジ キュウ
Ⅹ	ローマスウジ ジュウ
←	ヒダリヤジルシ
↑	ウエヤジルシ
→	ミギヤジルシ
↓	シタヤジルシ
⇒	ナラバ
⇔	ドウチ
∀	フツウゲンテイシ
∂	ラウンドディー
∃	ソンザイゲンテイシ
∇	ナブラ
∈	ゾクスル
∋	ゲントシテフクム
∑	シグマ
√	ルート
∝	ヒレイ
∞	ムゲンダイ
∟	チョッカク
∠	カク
∥	タテヘイコウ
∧	オヨビ
∨	マタハ
∩	キャップ
∪	カップ
∫	インテグラル
∬	ダブルインテグラル
∮	シュウカイセキブン
∴	ユエニ
∵	ナゼナラバ
∽	ソウジ
≒	二アリーイコール
≠	ノットイコール
≡	ゴウドウ
≦	ショウナリイコール
≧	ダイナリイコール
≪	ヒジョウニチイサイ
≫	ヒジョウニオオキイ
⊂	シンブブンシュウゴウ
⊃	シンブブンシュウゴウギャク
⊆	ブブンシュウゴウ
⊇	ブブンシュウゴウギャク
⊥	スイチョク
⊿	サンカクケイ
⌒	コキゴウ
①	マルイチ
②	マルニ
③	マルサン
④	マルヨン
⑤	マルゴ
⑥	マルロク
⑦	マルナナ
⑧	マルハチ
⑨	マルキュウ
⑩	マルジュウ
⑪	マルジュウイチ
⑫	マルジュウニ
⑬	マルジュウサン
⑭	マルジュウヨン
⑮	マルジュウゴ
⑯	マルジュウロク
⑰	マルジュウナナ
⑱	マルジュウハチ
⑲	マルジュウキュウ
⑳	マルニジュウ
─	ヨコセン
━	フトヨコセン
│	タテセン
┃	フトタテセン
┌	ヒダリウエ
┏	フトヒダリウエ
┐	ミギウエ
┓	フトミギウエ
└	ヒダリシタ
┗	フトヒダリシタ
┘	ミギシタ
┛	フトミギシタ
├	タテセンミギ
┝	タテセンフトミギ
┠	フトタテセンホソミギ
┣	フトタテセンミギ
┤	タテセンヒダリ
┥	タテセンフトヒダリ
┨	フトタテセンホソヒダリ
┫	フトタテセンヒダリ
┬	ヨコセンシタ
┯	フトヨコセンホソシタ
┰	ヨコセンフトシタ
┳	フトヨコセンシタ
┴	ヨコセンウエ
┷	フトヨコセンホソウエ
┸	ヨコセンフトウエ
┻	フトヨコセンウエ
┼	クロス
┿	フトヨコセンクロス
╂	フトタテセンクロス
╋	フトクロス
■	クロシカク
□	シカク
▲	クロサンカク
△	サンカク
▼	クロギャクサンカク
▽	ギャクサンカク
◆	クロヒシガタ
◇	ヒシガタ
○	マルジルシ
◎	ニジュウマル
●	クロマル
◯	オオキナマル
★	クロボシ
☆	ホシジルシ
♀	メス
♂	オス
♪	オンプ
♭	フラット
♯	シャープ
　	スペース
、	テン
。	マル
〃	オナジク
々	オドリジ
〆	シメ
〇	ゼロ
〈	ヤマカッコ
〉	トジヤマカッコ
《	ニジュウヤマカッコ
》	トジニジュウヤマカッコ
「	カギ
」	トジカギ
『	ニジュウカギ
』	トジニジュウカギ
【	クロカッコ
】	トジクロカッコ
〒	ユウビン
〓	ゲタジルシ
〔	キッコウ
〕	トジキッコウ
〝	ヒゲヒラキ
〟	ヒゲトジ
ぁ	チイサイ アサヒ ノ ア
あ	アサヒ ノ ア
ぃ	チイサイ イチゴ ノ イ
い	イチゴ ノ イ
ぅ	チイサイ ウサギ ノ ウ
う	ウサギ ノ ウ
ぇ	チイサイ エイゴ ノ エ
え	エイゴ ノ エ
ぉ	チイサイ オオサカ ノ オ
お	オオサカ ノ オ
か	カゾク ノ カ
が	ガッコウ ノ ガ
き	キッテ ノ キ
ぎ	ギンコウ ノ ギ
く	クスリ ノ ク
ぐ	グランド ノ グ
け	ケシキ ノ ケ
げ	ゲーム ノ ゲ
こ	コドモ ノ コ
ご	ゴリラ ノ ゴ
さ	サクラ ノ サ
ざ	ザブトン ノ ザ
し	シンブン ノ シ
じ	ジカン ノ ジ
す	スズメ ノ ス
ず	ズボン ノ ズ
せ	セカイ ノ セ
ぜ	ゼンブ ノ ゼ
そ	ソロバン ノ ソ
ぞ	ゾウキン ノ ゾ
た	タバコ ノ タ
だ	ダルマ ノ ダ
ち	チキュウ ノ チ
ぢ	ハナヂ ノ ヂ
っ	チイサイ ツバメ ノ ツ
つ	ツバメ ツ
づ	ツヅミ ノ ヅ
て	テガミ ノ テ
で	デンワ ノ デ
と	トウキョウ ノ ト
ど	ドレミ ノ ド
な	ナマエ ノ ナ
に	ニホン ノ ニ
ぬ	ヌリエ ノ ヌ
ね	ネズミ ノ ネ
の	ノハラ ノ ノ
は	ハガキ ノ ハ
ば	バナナ ノ バ
ぱ	パジャマ ノ パ
ひ	ヒカリ ノ ヒ
び	ビール ノ ビ
ぴ	ピアノ ノ ピ
ふ	フトン ノ フ
ぶ	ブランコ ノ ブ
ぷ	プリント ノ プ
へ	ヘイワ ノ ヘ
べ	ベルト ノ ベ
ぺ	ペット ノ ペ
ほ	ホケン ノ ホ
ぼ	ボタン ノ ボ
ぽ	ポスト ノ ポ
ま	マッチ ノ マ
み	ミカン ノ ミ
む	ムシ ノ ム
め	メガネ ノ メ
も	モミジ ノ モ
ゃ	チイサイ ヤカン ノ ヤ
や	ヤカン ノ ヤ
ゅ	チイサイ ユカタ ノ ユ
ゆ	ユカタ ノ ユ
ょ	チイサイ ヨット ノ ヨ
よ	ヨット ノ ヨ
ら	ラジオ ノ ラ
り	リンゴ ノ リ
る	ルスバン ノ ル
れ	レモン ノ レ
ろ	ロウカ ノ ロ
ゎ	チイサイ ワカメ ノ ワ
わ	ワカメ ノ ワ
ゐ	ムカシ ノ イ
ゑ	ムカシ ノ エ
を	ヲワリ ノ オ
ん	オシマイ ノ ン
゛	ダクテン
゜	ハンダクテン
ゝ	クリカエシ
ゞ	クリカエシダクテン
ァ	チイサイ アサヒ ノ ア
ア	アサヒ ノ ア
ィ	チイサイ イチゴ ノ イ
イ	イチゴ ノ イ
ゥ	チイサイ ウサギ ノ ウ
ウ	ウサギ ノ ウ
ェ	チイサイ エイゴ ノ エ
エ	エイゴ ノ エ
ォ	チイサイ オオサカ ノ オ
オ	オオサカ ノ オ
カ	カゾク ノ カ
ガ	ガッコウ ノ ガ
キ	キッテ ノ キ
ギ	ギンコウ ノ ギ
ク	クスリ ノ ク
グ	グランド ノ グ
ケ	ケシキ ノ ケ
ゲ	ゲーム ノ ゲ
コ	コドモ ノ コ
ゴ	ゴリラ ノ ゴ
サ	サクラ ノ サ
ザ	ザブトン ノ ザ
シ	シンブン ノ シ
ジ	ジカン ノ ジ
ス	スズメ ノ ス
ズ	ズボン ノ ズ
セ	セカイ ノ セ
ゼ	ゼンブ ノ ゼ
ソ	ソロバン ノ ソ
ゾ	ゾウキン ノ ゾ
タ	タバコ ノ タ
ダ	ダルマ ノ ダ
チ	チキュウ ノ チ
ヂ	ハナヂ ノ ヂ
ッ	チイサイ ツバメ ノ ツ
ツ	ツバメ ノ ツ
ヅ	ツヅミ ノ ヅ
テ	テガミ ノ テ
デ	デンワ ノ デ
ト	トウキョウ ノ ト
ド	ドレミ ノ ド
ナ	ナマエ ノ ナ
ニ	ニホン ノ ニ
ヌ	ヌリエ ノ ヌ
ネ	ネズミ ノ ネ
ノ	ノハラ ノ ノ
ハ	ハガキ ノ ハ
バ	バナナ ノ バ
パ	パジャマ ノ パ
ヒ	ヒカリ ノ ヒ
ビ	ビール ノ ビ
ピ	ピアノ ノ ピ
フ	フトン ノ フ
ブ	ブランコ ノ ブ
プ	プリント ノ プ
ヘ	ヘイワ ノ ヘ
ベ	ベルト ノ ベ
ペ	ペット ノ ペ
ホ	ホケン ノ ホ
ボ	ボタン ノ ボ
ポ	ポスト ノ ポ
マ	マッチ ノ マ
ミ	ミカン ノ ミ
ム	ムシ ノ ム
メ	メガネ ノ メ
モ	モミジ ノ モ
ャ	チイサイ ヤカン ノ ヤ
ヤ	ヤカン ノ ヤ
ュ	チイサイ ユカタ ノ ユ
ユ	ユカタ ノ ユ
ョ	チイサイ ヨット ノ ヨ
ヨ	ヨット ノ ヨ
ラ	ラジオ ノ ラ
リ	リンゴ ノ リ
ル	ルスバン ノ ル
レ	レモン ノ レ
ロ	ロウカ ノ ロ
ヮ	チイサイ ワカメ ノ ワ
ワ	ワカメ ノ ワ
ヰ	ムカシ ノ イ
ヱ	ムカシ ノ エ
ヲ	ヲワリ ノ オ
ン	オシマイ ノ ン
ヴ	ウサギ ノ ウニ ダクテン
ヵ	チイサイ カゾク ノ カ
ヶ	チイサイ ケシキ ノ ケ
・	ナカテン
ー	チョウオン
ヽ	クリカエシ
ヾ	クリカエシダクテン
㈱	カッコカブ
㈲	カッコユウゲン
㈹	カッコダイヒョウ
㊤	マルウエ
㊥	マルナカ
㊦	マルシタ
㊧	マルヒダリ
㊨	マルミギ
㌃	カナアール
㌍	カナカロリー
㌔	カナキリ
㌘	カナグラム
㌢	カナセンチ
㌣	カナセント
㌦	カナドル
㌧	カナトン
㌫	カナパーセント
㌶	カナヘクタール
㌻	カナページ
㍉	カナミリ
㍊	カナミリバール
㍍	カナメートル
㍑	カナリットル
㍗	カナワット
㍻	ヘイセイ
㍼	ショウワ
㍽	タイショウ
㍾	メイジ
㎎	ミリグラム
㎏	キログラム
㎜	ミリメートル
㎝	センチメートル
㎞	キロメートル
㎡	ヘイホウメートル
㏄	シーシー
㏍	ケーケー
一	カンスウジ ノ イチ
丁	イッチョウメ ノ チョウ
七	カンスウジ ノ ナナ
万	マンネンヒツ ノ マン
丈	ダイジョウブ ノ ジョウ，タケ
三	カンスウジ ノ サン
上	ジョウゲ ノ ジョウ，ウエ
下	ジョウゲ ノ ゲ，シタ
不	フシギ ノ フ
与	アタエル，キュウヨ ノ ヨ
丐	カイ，コウ，アタエルノイミ
丑	ウシ，ジュウニシ ノ ウシ
且	ナオカツ ノ カツ
丕	ヒ，フシギノフノシタニカンスウジノイチ
世	セカイ ノ セ，ヨ
丗	セカイノセノキュウジ
丘	サキュウ ノ キュウ，オカ
丙	コウオツヘイ ノ ヘイ
丞	ダイジンヲ イミスル ジョウショウ ノ ジョウ
両	リョウテ ノ リョウ
並	ナミキ ノ ナミ，ナラブ
个	カ，モノノタンイ，ヤネノシタニタテボウ
中	チュウガク ノ チュウ，ナカ
丱	カン，アゲマキ
串	クシカツノ クシ
丶	チュウ，ブンノクギリフゴウ，カタチハテン
丸	ヒノマル ノ マル，ガン
丹	タンネンナ ノ タン
主	シュジンコウ ノ シュ，ヌシ
丼	ドンブリ
丿	ヘツ，カタカナノノノカタチ
乂	ガイ，クサカリノカリノヒダリガワ
乃	ノギタイショウ ノ ノ，スナワチ
久	エイキュウ ノ キュウ，ヒサシイ
之	コレ，アクタガワリュウノスケ ノ ノ
乍	ムカシナガラ ノ ナガラ
乎	コ，ヨブ ノ ツクリ
乏	ビンボウ ノ ボウ，トボシイ
乕	ドウブツノトラノイタイジ
乖	カイリスルノカイ，ソムクノイミ
乗	ジョウシャスル ノ ジョウ，ノル
乘	ジョウシャスルノジョウ，ノルノキュウジ
乙	コウオツ ノ オツ
九	カンスウジ ノ キュウ
乞	コウ，アマゴイスル ノ コウ
也	クウヤネンブツ ノ ヤ，ナリ
乢	カイ，ヤマヘンニレイギノレイノツクリ
乱	コンラン ノ ラン，ミダレル
乳	ギュウニュウ ノ ニュウ，チチ
乾	カワク，カンソウキ ノ カン
亀	ドウブツ ノ カメ，キ
亂	コンランスルノラン，ミダレル
亅	ケツ，カンジノブシュノハネボウ
了	リョウショウスル ノ リョウ
予	ヨテイ ノ ヨ
争	キョウソウ ノ ソウ，アラソウ
亊	ジケンノジ，コトノイタイジ
事	ジケン ノ ジ，コト
二	カンスウジ ノ ニ
于	ウ，ウチュウノウノウカンムリヲトッタモノ
云	ウンヌン ノ ウン，イウ
互	ゴカク ノ ゴ，タガイ
五	カンスウジ ノ ゴ
井	イドミズ ノ イ
亘	ジンメイ ノ ワタル，カキネ ノ カキ ノ ツクリ
亙	ジンメイヨウワタル ノ キョヨウジタイ
些	ササイ ノ サ，イササカ
亜	アネッタイ ノ ア
亞	アネッタイノアノキュウジ
亟	キ，ホッキョクノキョクノツクリ
亠	トウ，ブシュノナベブタ
亡	ボウメイスル ノ ボウ
亢	コウ，テイコウスルノコウノツクリ
交	コウツウ ノ コウ，マジワル
亥	イ，ジュウニシ ノ イノシシ
亦	セツゾクシ ノ マタ，ヘンカスル ノ ヘン ノ ウエガワ
亨	キョウ，ナベブタニ クチニ リョウ
享	キョウラクテキ ノ キョウ
京	トウキョウ ノ キョウ
亭	テイシュ ノ テイ
亮	ジンメイ ノ リョウ，ショカツリョウ ノ リョウ
亰	トウキョウノキョウノイタイジ
亳	ハク，コダイチュウゴクノインノミヤコノヒトツ
亶	タン，ブツダンノダンノツクリ
人	ヒト，ニンゲン ノ ニン
什	ジュウキ ノ ジュウ，ニンベン ニ カンスウジ ノ ジュウ
仁	ジンギ ノ ジン，ニオウ ノ ニ
仂	ロク，ニンベンニチカラ
仄	ソクブンスルノソク，ホノカ
仆	ボク，ニンベンニウラナウノボク
仇	アダ，キュウテキ ノ キュウ
今	コンゲツ ノ コン，イマ
介	カイゴ ノ カイ，スケ
仍	ジョウ，ニンベンニノギタイショウノノ
从	シタガウノイタイジ，ヒトフタツ
仏	ブツゾウ ノ ブツ，ホトケ
仔	シサイナ ノ シ，ニンベン ニ コドモ ノ コ
仕	シゴト ノ シ，ツカエル
他	タニン ノ タ
仗	ギジョウヘイノジョウ
付	フロク ノ フ，ツケル
仙	センニン ノ セン，ニンベン ニ ヤマ
仝	ドウジョウ
仞	フカサノタンイノジン，ニンベンニカタナニテン
仟	セン，ニンベンニカンスウジノセン
代	ダイヒョウ ノ ダイ，カワル
令	メイレイ ノ レイ
以	イジョウ，イカ ノ イ
仭	フカサノタンイノジンノイタイジ，ニンベンニヤイバノイタイジ
仮	カメン ノ カ，カリ
仰	ギョウテンスル ノ ギョウ，アオグ
仲	ナカマ ノ ナカ
件	ジョウケン ノ ケン
价	カイ，ニンベンニチュウカイスルノカイ
任	セキニン ノ ニン
企	キカク ノ キ，クワダテル
伉	コウ，ニンベンニテイコウスルノコウノツクリ
伊	イセエビ ノ イ
伍	ラクゴスル ノ ゴ，ニンベン ニ カンスウジ ノ ゴ
伎	カブキ ノ キ
伏	キフクニトム ノ フク，フセル
伐	バッサイスル ノ バツ
休	ヤスム，キュウジツ ノ キュウ
会	カイシャ ノ カイ，アウ
伜	セガレノイタイジ，ニンベンニカンスウジノキュウトジュウ
伝	デンセツ ノ デン，ツタエル
伯	ハクシャク ノ ハク
估	コ，ニンベンニチュウコシャノコ
伴	ドウハンスル ノ ハン，トモナウ
伶	レイジン ノ レイ，ニンベン ニ メイレイ ノ レイ
伸	シンシュク ノ シン，ノビル
伺	シンタイウカガイ ノ ウカガイ
似	ルイジ ノ ジ，ニル
伽	オトギバナシ ノ トギ，カ
佃	ツクダニ ノ ツクダ
但	タダシガキ ノ タダシ
佇	チョリツスルノチョ，タタズム
位	タンイ ノ イ
低	ヒクイ，テイ
住	ジュウショ ノ ジュウ，スム
佐	ホサスル ノ サ
佑	テンユウ ノ ユウ，ニンベン ニ ミギ
体	カラダ，タイイク ノ タイ
何	ナニモノ ノ ナニ
佗	タ，ワビ，ニンベンニウカンムリニカタカナノヒ
余	ヨユウ ノ ヨ，アマル
佚	アンイツノイツ，ニンベンニウシナウ
佛	ブツゾウノブツノキュウジ
作	サクブン ノ サク，ツクル
佝	ク，ニンベンニハイクノク
佞	カンネイノネイ
佩	ハイヨウスルノハイ，オビル
佯	ヨウ，ニンベンニドウブツノヒツジ
佰	ハク，ニンベンニカンスウジノヒャク
佳	カサク ノ カ，ニンベン ニ ツチ フタツ ノ カ
併	ヘイヨウスル ノ ヘイ，アワセル
佶	キツ，ニンベンニダイキチノキチ
佻	ケイチョウフハクノチョウ
佼	ニンベン ニ マジワル ノ コウ
使	シヨウスル ノ シ，ツカウ
侃	カンカンガクガク ノ カン
來	ライネンノライ，クルノキュウジ
侈	シャシニナガレルノシ，ニンベンニオオイスクナイノオオイ
例	レイダイ ノ レイ，タトエル
侍	ジジュウ ノ ジ，サムライ
侏	シュジュノシュ，ニンベンニシュイロノシュ
侑	ユウ，ニンベンニユウメイジンノユウ
侖	リン，シャリンノリンノツクリ
侘	タ，ワビシイノワビ，ニンベンニジュウタクノタク
供	テイキョウスル ノ キョウ，ソナエル
依	イライスル ノ イ
侠	ニンキョウ ノ キョウ
価	カチ ノ カ，アタイ
侫	カンネイノネイノイタイジ
侭	ワガママ ノ ママ，ニンベン ニ ツクス
侮	ブジョクスル ノ ブ，アナドル
侯	オウコウキゾク ノ コウ
侵	シンリャク ノ シン，オカス
侶	ソウリョ ノ リョ
便	ユウビン ノ ビン，タヨリ
係	カンケイ ノ ケイ，カカリ
促	サイソクスル ノ ソク，ウナガス
俄	ニワカ，ガゼン ノ ガ
俊	シュンビンサ ノ シュン
俎	マナイタ，ソジョウノソ
俐	レイリノリ，ニンベンニケンリノリ
俑	ヘイバヨウノヨウ
俔	ケン，ニンベンニケンブツスルノケン
俗	フウゾク ノ ゾク
俘	トリコ，フリョノフ
俚	リゲンノリ，ニンベンニサトガエリノサト
俛	ベン，ニンベンニメンキョノメン
保	ホケンシツ ノ ホ，タモツ
俟	シ，マツ，ニンベンニカタカナノムノシタニユミヤノヤ
信	シンゴウキ ノ シン
俣	ミナマタビョウ ノ マタ
俤	オモカゲ，ニンベンニオトウト
俥	クルマ，ニンベンニデンシャノシャ
修	シュウリスル ノ シュウ
俯	ウツムク，フカンスルノフ
俳	ハイク ノ ハイ
俵	ドヒョウ ノ ヒョウ，タワラ
俶	シュク，ニンベンニシュクジョノシュクノツクリ
俸	ホウキュウ ノ ホウ
俺	オレサマ ノ オレ
俾	ヘイ，ニンベンニヒクツナノヒ
倅	セガレ，ニンベンニソツギョウノソツ
倆	リョウ，ニンベンニリョウテノリョウノキュウジ
倉	ソウコ ノ ソウ，クラ
個	コセイテキ ノ コ
倍	バイリツ ノ バイ
倏	シュク，ジョウケンノジョウノキュウジノキノカワリニドウブツノイヌ
們	モン，ニンベンニセンモンノモン
倒	トウサンスル ノ トウ，タオレル
倔	クツ，ニンベンニリクツノクツ
倖	ギョウコウ ノ コウ，ニンベン ニ サチ
候	リッコウホ ノ コウ
倚	イ，ニンベンニキミョウナノキ
借	シャクヨウ ノ シャクカリル
倡	ショウ，ニンベンニガッショウキョクノショウノツクリ
倣	モホウスル ノ ホウ，ナラウ
値	ネダン ノ ネ，アタイ
倥	コウ，ニンベンニクウキノクウ
倦	ケンタイカン ノ ケン，ウム
倨	キョゴウノキョ，ニンベンニジュウキョノキョ
倩	セン，ニンベンニアオノキュウジタイ
倪	タンゲイノゲイ，ニンベンニヌラムノツクリ
倫	リンリテキナ ノ リン
倬	タク，ニンベンニタッキュウノタク
倭	ギシワジンデン ノ ワ
倶	クラブ ノ ク
倹	ケンヤクスル ノ ケン
偃	エン，ニンベンニエンテイノエン，セキノツクリ
假	カメンノカ，カリノキュウジ
偈	ゲ，ニンベンニカッショクノカツノツクリ
偉	イダイ ノ イ，エライ
偏	ヘンセイフウ ノ ヘン，カタヨル
偐	ガン，ニンベンニヒコボシノヒコノキュウジ
偕	カイ，トモニ，ニンベンニミナサマノミナ
偖	シャ，ニンベンニカガクシャノシャノキュウジタイ
做	サ，ニンベンニコキョウノコ
停	テイシャ ノ テイ
健	ケンコウ ノ ケン，スコヤカ
偬	ソウ，ニンベンニネギノクサカンムリヲトッタモノ
偲	コジンヲ シノブ ノ シノブ
側	リョウガワ ノ ガワ，ソク
偵	テイサツスル ノ テイ
偶	グウゼン ノ グウ
偸	トウ，ニンベンニユカイナノユノツクリ
偽	ギゾウ ノ ギ，ニセ
傀	カイライセイケンノカイ
傅	フイクスルノフ，メノト
傍	ボウカンシャ ノ ボウ，カタワラ
傑	ゴウケツ ノ ケツ
傘	ラッカサン ノ サン，カサ
備	ジュンビスル ノ ビ，ソナエル
傚	コウ，ニンベンニコウカテキノコウノキュウジ
催	モヨオス，カイサイ ノ サイ
傭	ヨウヘイ ノ ヨウ，ヤトウ
傲	ゴウマンナノゴウ
傳	デンセツノデンノキュウジ
傴	ウ，ニンベンニクベツスルノクノキュウジ
債	サイムヲオウ ノ サイ
傷	キズ，ジュウショウ ノ ショウ
傾	カタムク，ケイコウ ノ ケイ
僂	ロウ，ニンベンニロウカクノロウノキュウジノツクリ
僅	ワズカ，キンサ ノ キン
僉	シケンヲウケルノケンノキュウジノツクリ
僊	セン，ニンベンニサセンスルノセンノツクリ
働	ロウドウ ノ ドウ，ハタラク
像	ブツゾウ ノ ゾウ
僑	チュウゴク ノ カキョウ ノ キョウ
僕	シモベ，コウボク ノ ボク
僖	キ，ニンベンニキゲキノキ，ヨロコブ
僚	カイシャ ノ ドウリョウ ノ リョウ
僞	ギゾウノギ，ニセノキュウジ
僣	センエツナガラノセンノイタイジ
僥	ギョウコウノギョウ，ニンベンニギョウシュンギョウノキュウジ
僧	ソウリョ ノ ソウ
僭	センエツナガラノセン
僮	ドウ，ニンベンニワラベ
僵	キョウ，ニンベンニカシハラジングウノカシノツクリ
價	カチノカ，アタイノキュウジ
僻	ヘキチ ノ ヘキ
儀	ギシキ ノ ギ
儁	シュン，ニンベンニフルトリニユミ
儂	ノウ，ニンベンニノウギョウノノウ
億	オクマンチョウジャ ノ オク
儉	ケンヤクスルノケンノキュウジ
儒	ジュガク ノ ジュ
儔	チュウ，ニンベンニコトブキノキュウジ
儕	セイ，ニンベンニイッセイシャゲキノセイノキュウジ
儖	ラン，ニンベンニカントクスルノカン
儘	ワガママノママ，ジン
儚	ボウ，ニンベンニユメ，ハカナイ
償	バイショウキン ノ ショウ，ツグナウ
儡	カイライセイケンノライ
優	ユウショウスル ノ ユウ，ヤサシイ
儲	モウカル，ニンベン ニ ショクン ノ ショ
儷	レイ，ニンベンニウルワシイ
儺	ダ，ニンベンニコンナンノナン
儻	トウ，ニンベンニヨトウヤトウノトウノキュウジ
儼	ゲン，ニンベンニゲンジュウナノゲン
儿	ジン，ブシュノヒトアシ
兀	ゴツ，カンスウジノイチノシタニヒトアシ
允	インカ ノ イン，ユルス
元	ゲンキ ノ ゲン，モト
兄	アニ オトウト ノ アニ
充	ジュウジツ ノ ジュウ
兆	イッチョウエン ノ チョウ
兇	キョウダンニタオレル ノ キョウ，ヒトアシ ノ キョウ
先	センセイ ノ セン，サキ
光	ヒカリ，ニッコウ ノ コウ
克	コクフクスル ノ コク，カツ
兌	ダカンシヘイノダ
免	メンキョ ノ メン
兎	ウサギ
児	ジドウセイト ノ ジ
兒	ジドウセイトノジノキュウジ
